itag;resolution;extension;isspecific
5;240x400;mp4;0
6;???;mp4;0
13;???;3gp;0
17;144x176;3gp;0
18;360x640;mp4;0
22;720x1280;mp4;0
34;360x640;mp4;0
35;480x854;mp4;0
36;240x320;3gp;0
37;1080x1920;mp4;0
38;3072x4096;mp4;0
43;360x640;webm;0
44;480x854;webm;0
45;720x1280;webm;0
46;1080x1920;webm;0
82;360p;mp4;1
83;480p;mp4;1
84;720p;mp4;1
85;1080p;mp4;1
92;240p;mp4;0
93;360p;mp4;0
94;480p;mp4;0
95;720p;mp4;0
96;1080p;mp4;0
100;360p;webm;1
101;480p;webm;1
102;720p;webm;1
132;240p;mp4;0
151;72p;mp4;0
133;240p;mp4;1
134;360p;mp4;1
135;480p;mp4;1
136;720p;mp4;1
137;1080p;mp4;1
138;3072x4096;mp4;1
139;48k;m4a;1
140;128k;m4a;1
141;256k;m4a;1
160;192p;mp4;1
171;128k;webm;1
172;256k;webm;1
242;240p;webm;1
243;360p;webm;1
244;480p;webm;1
245;480p;webm;1
246;480p;webm;1
247;720p;webm;1
248;1080p;webm;1
